u,i,year
9511,1742,2016
10501,5409,2019
5714,479,2012
18178,10809,2020
4738,2500,2009
11249,8458,2015
9167,1747,2008
20369,3567,2019
15724,2649,2018
20323,18883,2017
10182,5269,2003
19567,1682,2017
4645,2999,2017
3460,1019,2012
6022,503,2012
5253,1988,2009
12595,5013,2018
7019,1926,2020
12679,302,2003
14772,92,2007
24631,339,2004
9435,4092,2013
19115,4128,2018
5187,4043,2015
22698,3878,2013
19538,1784,2020
3906,684,2006
17603,570,2018
11114,4849,2020
19243,3140,2016
9798,7455,2008
8956,2012,2012
2323,1663,2005
6081,1525,2007
6415,310,2001
24383,13754,2020
10073,64,2003
22299,8570,2020
6221,3444,2009
11301,8559,2012
12088,4277,2015
2265,492,2009
20670,5247,2017
12228,3517,2018
18058,7398,2011
18534,1,2016
4404,4128,2013
10060,987,2012
20167,3788,2018
10271,7203,2014
13381,941,2015
11907,7451,2018
14646,8013,2013
2597,1173,2011
10282,2695,2015
2850,1253,1999
15618,593,2015
10950,63,2020
18458,8684,2020
9960,1429,2010
22786,6057,2019
12273,3384,2016
6649,5034,2012
20201,235,2017
10307,10136,2016
23356,3488,2019
22418,6322,2019
7685,5208,2012
13772,7305,2020
16384,3637,2007
11089,5781,2005
21895,13628,2017
14526,1647,2012
11816,6873,2018
16766,6735,2014
13533,1576,2008
12883,8883,2014
14048,1469,2010
12268,4751,2009
15706,1290,2014
4620,3672,2017
12468,3586,2019
5927,4901,2011
20791,4306,2018
11670,2470,2018
10858,4754,2009
15336,7493,2018
11703,9736,2016
16092,3908,2019
8073,3966,2010
2226,1484,2003
11840,2332,2008
13736,10752,2008
5824,2120,2011
11425,4508,2012
14247,6156,2020
1529,361,2002
6816,4636,2011
21156,4823,2018
11737,2874,1998
17483,8312,2020
2400,427,1999
7828,2242,2000
8021,1035,1999
18099,2954,2013
635,536,1999
23855,181,2020
12062,2491,2012
2659,1889,2017
14461,2197,2015
10180,8907,2019
13519,2616,2019
17978,14842,2015
4947,4820,2004
9219,75,2013
20679,6141,2018
12649,5570,2015
11769,9600,2014
7007,1185,2011
6819,6761,2006
4586,2906,2007
5147,3447,2001
7615,89,2007
21210,1804,2019
5397,5216,2013
19300,9503,2020
6362,317,2009
13147,7205,2017
17267,5625,2011
4554,86,2006
17956,6776,2020
18867,10708,2016
4787,386,2005
12461,900,2017
10642,1009,2004
10703,882,2007
23586,6503,2020
14266,3285,2017
15371,9481,2011
8686,1338,2011
9499,8058,2007
4846,2369,2013
23383,34,2019
11978,2692,2012
11280,7970,2008
3735,433,2002
2122,1400,2015
8024,7923,2018
19718,4523,2017
7606,1547,2010
11002,7266,2016
13722,12206,2017
2616,2111,2014
15451,1899,2002
11677,6484,2009
20758,253,2018
17352,3877,2017
14065,4717,2020
15581,6434,2017
14775,2382,2018
5228,373,2006
4162,1283,2013
21083,857,2010
14224,4173,2018
9253,30,2009
1980,823,1999
6375,3542,2011
19033,3131,2018
13417,166,2016
23174,2621,2019
10140,1722,2012
16832,7202,2018
13535,1691,2006
19361,9720,2020
6890,3430,2013
13107,3514,2009
11256,854,2010
12822,3335,2011
13554,4552,2012
4350,299,2010
19857,6447,2017
22488,1703,2020
11190,8239,2017
12353,10385,2012
20979,1576,2018
9748,1443,2018
17096,3244,2013
7497,4352,2005
10363,2094,2005
5187,2956,2014
9764,8037,2017
16976,2027,2011
6032,5044,2012
13542,2001,2018
11138,6189,2016
10915,3392,2018
16214,4049,2018
16777,1365,2018
4721,1977,2008
16719,4958,2018
18901,4357,2016
23288,695,2020
14592,13630,2016
11709,5140,2011
4427,2423,2013
22089,10277,2019
12346,1372,2016
5549,2703,2017
14817,13382,2006
6695,1267,2009
11643,9080,2020
17077,4489,2016
12426,218,1995
15471,871,2011
14364,11676,2018
14772,4607,2007
9703,7072,2010
2624,1603,2007
3063,311,2009
4861,3076,2016
4864,3945,2017
21355,3686,2019
9827,2155,2016
13729,10104,2020
8706,5310,2016
20255,2180,2017
23814,9181,2020
7360,947,2018
15365,3899,2020
21400,137,2019
16185,8998,2020
16229,603,2020
17340,739,2015
2448,553,2003
14879,146,2012
6439,3318,2011
2709,1709,2003
10885,1850,2001
11709,4537,2011
8853,8380,2012
19220,3225,2019
10950,2422,2020
2440,1409,1997
21667,1507,2019
17007,2239,2010
15016,13853,2021
7205,4843,2011
7361,1692,2004
13899,492,2016
17176,6616,2015
1974,1730,2002
1146,682,1991
12390,5175,2016
16422,8252,2019
3569,3054,2015
12511,2844,2006
7155,4634,2008
14874,247,2018
6073,2522,2010
15724,305,2018
13596,3872,2017
3085,2331,2020
21173,5078,2018
7097,4607,2012
18103,216,2011
7288,3473,2019
10106,3110,2006
12116,649,2017
14002,597,2012
3717,2131,2004
14914,849,2005
22113,781,2017
21189,13950,2018
16777,723,2014
7524,2833,2018
4614,307,2010
4032,3460,2012
12898,5229,2013
3298,1494,2004
17410,1671,2019
6720,1504,2013
14367,5804,2014
555,136,1992
7242,5057,2012
11107,629,2008
13569,90,2004
3272,2637,2006
12377,905,2003
20178,2505,2019
14934,4961,2013
11157,4465,2018
14002,29,2012
2983,2047,2001
5085,4942,2016
16384,9798,2008
19374,17089,2020
20408,323,2016
17215,1896,2019
13297,7073,2008
3343,1152,2005
11598,2004,2003
10066,6552,2011
7491,1896,2013
20318,7273,2017
10100,9568,2019
18290,7247,2020
16627,973,2015
6152,184,2007
16945,6317,2016
13542,1552,2017
2360,852,2004
15814,8802,2013
6166,2057,2009
1177,502,1992
22116,7730,2020
13622,6269,2015
21519,10565,2018
6949,3120,2009
11063,1352,2002
10587,1938,2012
20525,1148,2020
8050,683,2016
12719,10964,2011
9693,7117,2014
17133,11079,2020
17793,17230,2017
12321,4233,2020
5339,71,2011
23182,398,2019
17239,3606,2019
7814,6137,2017
6262,1478,2008
13047,494,2012
21625,29,2020
15277,2067,2013
12479,6200,2015
19688,18626,2019
19108,2003,2017
5921,2023,2004
6815,2370,2019
9252,2689,2018
4345,1474,2005
9315,81,2008
9993,3788,2010
5665,1721,2007
14247,531,2010
4019,950,2000
12406,2598,2007
8748,540,2000
12233,1804,2007
19073,2086,2017
17239,7856,2019
19446,18143,2017
16863,10087,2016
3044,1871,2019
10425,2557,2006
17863,7134,2016
10173,3785,2011
12257,3042,2014
24860,6569,2014
15168,3786,2010
21083,2170,2010
4368,2926,2003
7285,134,2000
6020,1080,2006
4230,515,2003
5766,164,2013
3102,460,2005
14063,4931,2019
16252,4572,2015
16344,9059,2020
15927,6895,2020
14648,148,2003
17143,382,2013
14366,2642,2005
13373,80,2007
5089,1469,2008
12900,2560,2019
4263,2659,2017
16544,12493,2019
10474,30,2011
17303,7756,2016
11457,3255,2011
15041,4705,2015
8233,302,2014
11699,3552,2019
5082,413,2008
24646,3230,2010
24087,5141,2020
6104,1052,2007
13275,7795,2016
5981,5717,2012
20036,1086,2020
4083,2657,2011
13598,3157,2017
3476,2772,2015
9724,2223,2017
13019,4479,2009
10474,1838,2018
18560,2898,2020
16918,16037,2018
8320,5512,2012
18764,440,2015
5796,3526,1999
18680,15806,2017
18783,17454,2016
9532,7132,2012
4467,1603,2018
6136,2498,2011
5878,2831,2007
15571,2596,2018
14112,9303,2019
4887,1689,2020
9099,7627,2015
1567,624,2010
3483,1925,2003
10269,4961,2020
19143,3812,2019
18394,951,2014
6203,737,2002
16335,1707,2014
3280,1313,2016
1935,1641,2005
5579,3100,2012
9461,382,2005
6440,1316,2014
20571,16187,2018
1332,667,1999
20263,16156,2020
12221,1103,2014
5374,1464,2004
3663,1141,2011
6605,1817,2007
13320,4271,2020
7412,1716,2016
4738,679,2011
3337,1251,1996
2887,2254,2003
1946,292,2001
19277,15162,2017
3757,2290,2009
2337,1059,2006
12941,874,2017
2126,86,2006
12872,5510,2015
17387,1408,2015
6630,433,2002
17339,6552,2016
7956,3379,2003
14628,2881,2016
23400,8619,2020
12281,2914,2017
13544,5786,2002
18857,213,2016
11690,7804,2018
14239,4965,2018
17728,4400,1988
8511,2947,2013
14724,8274,2017
5100,1558,2012
5096,1514,2008
15366,381,2012
10391,3868,2017
15801,2283,2018
8371,7090,2004
15760,3261,2014
16717,4183,2019
21289,18679,2020
16620,2179,2017
5679,3719,2019
5445,3266,2017
7038,4507,2013
20265,629,2019
15417,7064,2018
18905,8505,2020
16685,6966,2016
13107,3456,2009
5620,1264,2011
6016,3872,2009
5535,651,2017
20153,3044,2017
11637,5998,2010
1179,90,1997
21990,692,2020
19311,6177,2016
22652,5961,2020
11161,4296,2015
6891,1537,2006
6566,2440,2006
13369,5768,2013
2390,1231,1990
8728,550,2004
10044,2803,2011
20409,5833,2018
7218,3452,2016
4122,4007,2012
7000,623,2011
8900,3460,2012
9718,3095,2005
17350,5109,2011
22876,8067,2019
4883,3652,2015
17108,1720,2005
13317,10447,2016
11800,2879,2016
7820,1777,2000
7192,42,2008
5634,986,2016
5443,2767,2008
7413,6920,2014
5463,207,2013
6176,5388,2012
8844,4397,2018
7597,6375,2005
20754,10833,2018
11169,834,2004
11381,4111,2016
4912,3104,2013
16662,4580,2015
17040,528,2008
1907,1548,2006
17239,4118,2018
9451,1586,2010
16510,3285,2019
8728,1148,2004
9117,164,2014
3250,910,1998
21113,2831,2019
9651,6593,2013
9919,5938,2010
7346,2469,2007
8906,7770,2013
16261,6728,2017
2038,942,2017
2506,56,1995
6860,5460,2015
6339,4156,2019
4542,1700,2006
22581,15862,2018
21749,14992,2020
9409,2409,2008
7602,2691,2004
15617,1524,2014
19930,6444,2017
11035,1746,2018
12949,5894,2015
11401,3015,2018
8997,6429,2015
20954,3090,2018
15617,7493,2017
13652,1332,2016
11801,9060,2014
14758,6829,2019
13906,3410,2010
5240,4847,2015
8238,2471,2011
6402,2690,2016
10501,511,2012
12586,604,2004
8566,2206,2001
6630,5739,2001
13348,1981,2018
9960,482,2010
13751,11941,2018
14983,2805,2016
3793,1872,2009
15036,3096,2017
7042,837,2009
8890,3663,2005
21574,20686,2018
22182,4138,2020
20821,1408,2018
9676,260,2013
5463,3318,2016
19957,3066,2017
18960,6463,2018
13834,1417,2015
12856,3714,2010
8643,2239,2015
7132,4324,2003
2926,631,2003
9201,4950,2016
23431,6345,2005
19046,3649,2016
7765,7478,2018
13572,6353,2014
18798,3374,2017
3585,2170,1996
7885,2418,2011
986,881,2005
14363,1355,2009
10411,1471,2016
9819,1587,2011
5693,4811,1995
12205,1435,2010
19708,7052,2018
5921,5481,2009
4168,2574,2014
3007,1329,2009
13762,7472,2010
22597,6686,2020
13263,625,2018
2872,291,2010
13216,1327,2020
4325,2821,2015
12811,2714,2020
18311,1464,2008
8468,4564,2000
15576,1202,2010
24329,6807,2020
13231,5041,2011
3843,1605,2004
19519,1351,2019
13407,822,2016
21630,17748,2020
6258,394,2006
10590,581,2018
10909,4352,2014
22731,3560,2019
6209,1983,2006
16999,4962,2017
11727,6014,2016
10728,2991,2019
11937,606,2012
