u,i,year
10857,1661,2008
5715,1430,2011
4607,290,2007
2456,903,2006
6865,2214,2005
8862,6889,1998
23978,17,2020
22017,12893,2018
583,218,1983
20938,7147,2020
20277,2289,2017
10351,3933,2015
17187,10655,2019
10671,5394,2019
10755,5355,2012
10740,5756,2015
1008,590,2002
21800,21748,2019
6069,1602,2017
7232,671,2006
2429,1618,2008
20887,5434,2017
4360,2551,2019
18252,5153,2020
1287,222,1996
13493,448,2020
2455,1600,2004
8496,3766,2016
15286,776,2015
4786,3294,2016
14232,9959,2015
10026,3512,2003
12415,760,2015
19134,766,2017
11382,970,2011
17609,7990,2017
7168,3074,2011
4658,1585,2015
16704,1666,2020
7004,572,2002
18929,12504,2019
8126,3432,2019
5990,2475,2005
11072,9798,2018
22462,3576,2019
19342,740,2017
4104,320,2008
9226,8572,2015
15457,5969,2015
16754,4951,2018
11633,283,2006
9666,1343,2017
6502,911,2007
7715,668,2012
12686,5377,2018
17774,2901,2018
2901,1058,2008
22747,3892,2020
10430,2487,2005
14744,5605,2020
17384,3500,2018
24674,5521,2005
5887,784,2009
11568,10383,2013
15404,4895,2017
19215,8372,2017
19446,475,2018
11437,7684,2009
17770,1002,2015
4561,1268,2005
13593,3081,2002
15016,124,2021
11892,2007,2006
11568,10299,2019
21897,19329,2019
7329,2249,2009
8763,2733,2010
13348,1178,2011
20098,1702,2017
15892,2975,2016
16494,429,2011
22041,587,2020
1449,268,2010
11315,6975,2020
8892,834,2016
13183,2361,2017
10277,1735,2008
3928,1719,1997
20420,4912,2019
21659,516,2018
7433,404,2010
22812,15674,2020
13955,10803,1999
14581,606,2005
8977,3434,2017
20220,2531,2017
1926,1688,2010
9703,966,1997
9074,3142,2017
15736,13788,2018
21156,1999,2018
4790,1776,2006
16151,4818,2016
14488,5633,2010
22689,242,2019
19861,2514,2017
12131,3597,2008
20731,84,2018
7307,7056,2013
12278,749,2017
11289,771,2020
5849,2248,2011
7723,5249,2015
22747,3877,2020
3645,796,1999
8030,5946,2009
3378,2469,2010
8244,2813,2006
11704,3245,2016
13510,34,2013
9381,803,2008
23839,13157,2020
13879,1574,2010
12890,475,2020
15172,1673,2019
12607,9248,2011
16074,3447,2014
11917,3683,2016
4017,2298,2008
14405,264,2008
5526,106,2004
6985,1836,2018
11406,912,2009
20439,8829,2018
15337,1833,2014
9604,741,2002
14071,6676,2014
8545,4857,2007
16899,871,2012
16931,1975,2016
10722,6212,2011
9194,2172,2009
12536,4245,2018
10785,6923,2020
18491,14673,2019
639,251,2001
13324,176,2011
16773,5096,2018
13296,1644,2014
19119,2135,2020
10925,3036,2017
15749,941,2015
15587,5881,2010
13029,10710,2020
13714,456,2016
8722,2545,2004
9421,3017,2012
18809,3801,2016
9720,2482,2015
10466,1377,2006
4292,98,2002
13325,9169,2020
11177,3287,2013
7316,711,2008
13519,69,2009
19458,716,2016
7637,1638,2009
19481,5390,2018
3787,1143,2011
18604,13575,2019
4197,1496,2009
11729,2215,2017
17167,8387,2018
17087,8517,2015
10047,4481,2010
20110,3459,2020
19759,5310,2017
23927,2712,2020
22115,221,2019
7732,7472,2017
12508,7214,2014
5857,1429,2010
13464,10803,2007
15070,697,2018
8003,5341,2013
17273,1226,2017
11502,180,2014
11219,88,2011
15360,2674,2019
10970,736,2012
8119,3528,2006
2260,73,1979
23910,2004,2020
17885,4489,2018
17832,4859,2008
21843,14194,2020
20161,4234,2016
7583,6020,2006
14187,8914,2008
16136,11706,2020
4001,20,1990
3785,1001,2008
10991,295,2011
7883,2085,2012
10599,2596,2015
12534,4151,2019
5762,593,2002
3163,2574,2016
12166,7582,2019
14722,1463,2013
16069,716,2015
5457,1928,2011
4681,970,2006
13153,5228,2017
13005,1011,2000
19594,16714,2017
10837,646,2004
3505,1890,2008
13199,3877,2020
1499,200,2002
9719,3998,2009
13338,165,2014
11008,1836,2009
5917,1833,2014
6324,2825,2011
10674,7922,2018
21502,146,2018
23357,2281,2020
8147,100,2009
14191,2397,2010
5755,3487,2011
15416,1272,2020
5095,1704,2004
8060,7248,2010
7329,642,2004
20064,9382,2017
7875,7851,2011
7846,7108,2015
16007,6608,2018
11514,320,2007
23352,1644,2020
15997,7566,2018
10722,2324,2009
4682,3915,2010
8523,2585,2013
20434,1158,2017
5081,2532,2006
12953,9790,2012
15878,7622,2019
1859,1277,2018
19146,9521,2017
23182,1092,2019
19503,10192,2019
5546,5433,2012
17976,1305,2008
19117,12927,2018
6421,3045,2017
16615,1179,2009
2723,2493,1999
11270,4822,2016
11865,66,2019
3671,2819,2017
16604,6215,2015
13573,11599,2012
9518,703,2007
19331,4968,2017
7151,210,2013
24558,6757,2009
15749,8091,2015
15354,12558,2018
23625,2087,2020
13356,1445,2008
9362,6059,2020
20166,6464,2020
5906,1872,2007
12701,8338,2017
13584,143,2001
5950,3036,2009
3677,2234,2010
19447,9299,2017
6859,6233,2017
10115,1365,2011
20944,4510,2018
22437,18428,2018
9890,1215,2018
1265,1246,2017
18505,827,2013
6098,6017,2009
7050,1061,2013
20033,11302,2017
11581,10884,2016
12728,2155,2007
17034,7273,2020
4887,4382,2018
9254,7639,2017
7643,3647,2012
12498,2146,2008
20385,19466,2020
11474,3125,2020
3356,1214,2005
22934,659,2019
11892,3278,2014
13046,2410,2020
2186,312,2000
10202,7800,2017
10944,1913,2011
7256,5562,2019
4302,2784,2014
22804,5451,2019
10491,2675,2013
5082,554,2002
14928,5729,2017
10081,2697,2018
924,876,2016
17811,3253,2017
10640,7784,2016
16326,660,1996
5123,4253,2009
4140,570,2009
6503,1274,2007
18913,1642,2021
5108,213,2003
17292,10619,2013
21953,12266,2018
22088,12329,2017
3684,1798,2013
12530,2840,2010
14209,2587,2009
5858,1947,2008
16952,9876,2017
9638,4128,2009
16083,1120,2020
5145,4861,2007
21759,2519,2019
13805,1877,2015
11521,2401,2004
6841,1509,2005
13966,7057,2015
3340,1438,2005
23817,3975,2020
7555,5180,2018
14969,1935,2013
24066,3296,2020
19053,4664,2016
5697,2372,2012
10497,4927,2009
14212,427,2017
9492,4589,2016
10939,4566,2011
19154,3208,2004
18668,4980,2017
7601,247,2014
6018,3170,2014
11595,6259,2018
11896,8358,2012
5403,2340,2017
15618,6462,2020
23931,10809,2020
6307,1065,2016
6204,5932,2010
7516,3049,2005
5692,3373,2017
11454,7630,2016
19816,1088,2017
4308,1000,2002
16843,6128,2018
7087,5988,2015
18261,8143,2008
5504,4090,2019
19105,787,2017
2384,419,1993
6759,3764,2008
9908,9464,2009
8021,3432,2003
19453,4825,2017
18839,361,2017
18275,2657,2012
3293,673,2007
9280,5834,2010
20037,5460,2017
22008,6931,2017
3298,3003,2009
13419,12529,2019
19232,1471,2016
13849,7185,2019
7316,1519,2008
18478,3815,2015
18978,16042,2020
13884,1101,2003
1721,131,2005
13614,6311,2016
15454,7417,2016
9753,2378,2005
22418,4803,2018
9422,2573,2012
3629,2828,2020
6576,3796,2013
22404,14686,2020
15255,9985,2017
9807,2083,2017
7395,1229,2020
22169,1028,2018
12686,614,2018
12372,1796,2018
11170,6647,2009
6072,916,2009
21747,1053,2018
12721,10290,2010
18655,91,2016
10820,330,2013
20641,10532,2020
15087,643,2011
14742,1203,2019
13782,1365,2019
7652,1938,2014
6632,4139,2007
15543,15073,2016
16199,1243,2015
8159,2842,2004
2599,163,2012
3580,3067,2009
17580,4298,2015
22440,10577,2018
18933,859,2016
16138,359,2014
2479,1601,1998
18130,3091,2018
12517,2637,2008
10627,10154,2018
5089,627,2005
18517,3766,2005
12426,3085,2005
11747,5503,2003
12881,1523,2015
21301,106,2018
2062,1596,2009
5501,4385,2009
3834,187,2006
7835,4955,2011
9421,6908,2015
3356,123,1996
12077,1642,2008
13073,1964,2018
18035,6227,2020
19119,2457,2020
23061,3831,2020
19565,8112,2018
16344,1573,2019
18552,7839,2014
18777,5082,2017
3131,1922,2018
7020,5237,2015
5507,907,1998
8763,6088,2013
4502,2523,2006
8167,5901,2007
15701,14535,2019
14041,2056,2005
8314,120,2011
12552,4538,2013
12708,8126,2019
22696,804,2004
9749,1892,2013
8902,4303,2020
7643,1857,1999
18304,1404,2011
9222,306,2019
19382,7852,2019
9247,7129,2009
18868,2007,2016
3935,2017,2006
22364,6402,2018
8592,3138,2020
24525,1038,2020
16207,15061,2019
5034,418,2006
7871,6228,2008
21367,1362,2018
4660,1417,2005
20220,6934,2017
12423,3476,2016
11865,3685,2020
6454,2994,2005
9331,438,2005
6169,2423,2010
4086,838,2007
12882,1097,2017
19961,2734,2020
23603,7138,2020
16652,1206,2018
14624,1678,2009
15143,1479,2012
9651,8397,2016
14242,4339,2017
6427,2320,2016
11133,4880,2012
14393,258,2008
7253,3011,2011
16841,4481,2011
8446,4615,2020
3045,1019,1998
8074,8032,2010
23191,1017,2019
24305,1578,2020
8274,7127,2017
17106,1705,2014
20113,5921,2017
23526,1953,2019
14657,3483,2012
22016,1445,2019
6398,3226,2011
22769,10690,2020
2276,1017,2000
9547,7029,2019
17682,16841,2015
21646,1913,2019
24785,401,2009
4990,1751,2007
10081,7376,2018
3980,3801,2012
15504,94,2010
19750,10597,2016
5975,5216,2010
3634,597,2005
21836,7953,2018
16709,1595,2017
12482,6848,2006
13338,527,2013
5883,2772,2018
13350,75,2017
11956,1641,2003
23872,6068,2020
14017,4920,2004
8735,674,2007
18406,12762,2018
8060,7360,2017
19706,4348,2020
13936,290,2017
24006,3970,2019
14496,2920,2010
12503,1571,2013
12236,2210,2014
18461,8439,2009
12974,7190,2020
18515,4225,2015
16304,13820,2011
1906,848,1988
3998,465,2005
3560,918,2008
4758,1613,2008
16378,9169,2019
13453,3945,2014
7852,4630,2006
10127,4,2020
20408,7563,2016
10155,5505,2015
16195,15506,2020
13961,3272,2007
11415,1950,2015
9873,26,2005
7490,1091,2017
2475,2099,2009
5947,1746,2003
16297,3584,2015
19985,2362,2017
12171,2809,2009
21604,20157,2018
14976,2945,2014
5909,2545,2006
12521,8934,2016
10098,5281,2011
15011,1191,2013
13401,13360,2016
16268,6769,2015
5104,2339,2015
3742,2822,2015
22782,858,2019
10680,213,2013
10104,2718,2016
3678,2694,2015
13967,1686,2020
22237,3597,2018
15601,51,2010
14425,1034,2012
7313,384,2005
19120,7775,2018
9255,12,2003
13781,12316,2016
12552,4184,2018
14397,1280,2009
14315,5910,2009
6721,542,2001
17126,3403,2015
9107,3383,2018
3781,2572,2001
13780,37,2013
19235,5071,2017
8396,2491,2013
15957,2307,2014
19575,736,2017
7014,6385,2018
9311,5790,2017
12744,761,2010
6826,2850,2002
20274,6198,2020
8348,1209,2007
6577,5469,2013
15663,6730,2011
9536,2275,2010
13815,845,2010
5806,540,2018
9432,4979,2018
10386,8332,2018
15117,5782,2006
8849,4354,2010
16948,10947,2019
1534,292,2002
17629,2642,2017
21577,8848,2018
4628,2012,2004
9670,2836,2020
12633,1709,2017
14458,1194,2017
2601,1409,2005
17379,407,2015
8647,2691,2009
13379,950,2019
2639,1937,2004
16116,18,2016
4467,1469,2013
17663,5397,2014
12641,2371,2019
20317,450,2018
4284,1518,2009
19945,523,2018
17003,631,2013
20209,5625,2017
6754,3255,2018
14484,6011,2017
15057,9181,2019
14571,4591,2009
10156,3829,2014
5298,2543,2009
10182,3121,2005
4983,2064,2006
14447,123,2010
20855,40,2018
16913,10032,2020
7971,2078,2006
20730,2457,2018
18095,6229,2020
13502,1104,2020
12675,5394,2011
12735,2945,2012
11571,8998,2020
16546,422,2020
16220,1303,2014
12329,4984,2012
6418,5404,2016
16043,2562,2015
11640,4882,2013
12714,2723,2018
6862,4732,2007
5439,5242,2017
5640,2398,2009
11885,406,2019
4940,84,2006
21040,982,2018
21341,2196,2017
17497,5604,2015
11892,8459,2015
3851,2576,2000
19574,3906,2017
14752,6459,2017
9044,3292,2003
15277,10919,2017
15251,15092,2020
10136,3358,2017
9380,4834,2016
6241,3288,2010
9148,8230,2010
7299,2637,2006
23434,4599,2020
15115,1019,2019
17831,4044,2018
8397,3415,2016
7994,4247,2017
19282,7721,2019
6430,4459,2011
11891,500,2018
8748,5057,1998
22789,468,2019
20902,3488,2018
4290,974,2008
11615,250,2010
3943,947,2017
3534,2281,2006
2112,552,2006
5410,1360,2010
11795,744,2011
8983,1413,2001
4681,3536,2006
22747,2463,2020
7119,2774,2013
15989,5281,2013
5592,3311,2011
17633,12518,2017
11372,1361,2008
18898,3363,2018
20202,7,2017
23583,2368,2020
19801,11825,2018
7358,6318,2016
19881,4493,2019
17289,4256,2016
12313,1323,2013
8525,550,2011
5142,3461,2020
8816,5286,2017
20611,13223,2018
7294,6192,2006
3280,3140,2009
20894,2183,2018
3036,1169,2008
9616,3044,2009
7239,98,2007
2504,658,2007
1554,610,2012
9586,2721,2012
7029,2163,2010
22843,3335,2019
11172,10194,2018
11291,2385,2019
2628,2596,2005
24876,161,2009
2682,1765,2006
13456,5875,2012
12023,1827,2016
10246,582,2013
18981,3046,2020
20437,9199,2017
14547,599,2013
10337,1643,2011
17372,9752,2019
22266,2212,2018
23116,6413,2019
7153,397,2010
13163,8737,2013
23608,4549,2020
23808,2738,2018
8587,4307,2008
7037,6616,2012
18261,3721,2018
9893,4111,2014
13989,3014,2011
8673,5505,2012
13965,1237,2016
7352,941,2006
14587,3635,2016
9860,7336,2018
6298,5965,2008
22917,14587,2019
19873,4656,2017
3180,1190,2007
4623,4,2010
16774,958,2016
6534,2707,2007
15045,3126,2008
18672,16233,2017
9166,2267,2014
5761,3473,2012
15167,6758,2014
17394,1911,2017
17473,10202,2019
18809,7247,2016
22151,645,2019
7908,6550,2009
8700,4253,2014
16769,1228,2015
3138,1051,1997
11412,382,2015
8814,1528,2006
19398,2179,2017
11568,448,2007
20012,2102,2020
5489,2544,2011
13620,5180,2019
21729,4647,2018
4066,4025,2015
18538,3984,2020
6655,680,2010
14076,1866,2006
17757,2384,2007
13910,4476,2009
20313,6539,2019
14879,7113,2020
4977,2560,2020
17682,3422,2016
16435,10170,2019
7940,5697,2012
14448,1679,2007
13776,127,2015
10785,1700,2020
3105,834,2008
2361,1750,2003
1964,1356,1997
9669,1510,2008
20543,2600,2017
20274,20072,2020
14070,11117,2018
21466,6907,2017
9788,2328,2009
14084,986,2011
16377,3731,2019
12501,1203,2017
18878,5607,2019
12631,4628,2018
19422,4706,2019
8842,7418,2017
19635,16125,2017
9979,4268,2018
7671,4225,2013
6376,3634,2017
11048,93,2011
22877,2179,2019
20114,714,2017
16746,13581,2014
18833,1775,2020
8631,186,2001
10554,237,2011
6036,3630,2006
24546,1721,2021
11657,4812,2014
24683,2318,2011
24029,290,2020
14567,9036,2020
7960,7251,2010
9366,2017,2005
10477,1671,2018
18931,6222,2016
23277,22541,2019
14494,467,2011
20420,3867,2019
3374,1555,1995
19400,3961,2020
13281,10326,2018
17237,2664,2015
23072,303,2019
11318,1116,2010
10364,42,2008
10168,2504,2007
15537,787,2017
13002,1373,2004
10694,2545,2009
15998,8750,2015
22448,11257,2018
14961,6610,2015
5479,2665,2011
18894,2688,2016
5499,841,2011
14309,2991,2016
6523,489,2010
9226,7264,2015
15405,3565,2017
23480,3968,2020
22182,7788,2020
8165,4502,2008
10936,1077,2020
12834,1395,2010
3783,3751,2013
11976,589,2008
2853,617,2008
16863,6153,2016
8299,3158,2020
7438,7033,2017
7893,5739,2017
2625,17,2008
6660,2307,2008
6557,4698,2011
10993,1237,2009
20945,19411,2020
13417,5424,2019
6202,1230,2006
15136,3771,2009
16088,11146,2019
6146,1856,2007
17422,5825,2016
11790,6048,2011
17062,9188,2018
8255,7223,2013
13112,10293,2010
22135,3268,2017
23939,331,2020
9405,2382,2008
13334,5500,2019
805,530,2002
15894,10558,2016
10333,2157,2012
12899,5759,2020
8706,8235,2009
15449,2556,2016
19114,58,2017
10283,9221,2019
17890,5763,2019
10278,1650,2005
1613,618,2006
7191,2632,2013
15549,659,2013
3657,2559,2012
19317,12974,2020
7052,4605,2018
8965,2540,2010
11714,5352,2014
5242,5133,2018
11359,651,2015
23422,9701,2019
9790,4888,2007
17494,14625,2016
4129,2746,2005
6149,66,2006
23923,7914,2010
7578,5217,2017
7746,2762,2009
19558,7690,2012
7581,6076,1986
9825,6104,2019
23707,6734,2020
17939,3106,2012
10996,1736,2014
12607,202,2010
4552,3191,2003
9914,4015,2011
17059,183,2017
7623,864,2007
15109,9882,2020
14190,1622,2008
18025,6108,2017
7653,296,1996
12448,269,2009
7972,92,2007
11026,3004,2012
11084,5247,2014
1079,457,1995
21475,448,2018
11780,1445,2012
11747,2098,1995
21454,108,2019
11688,1980,2007
11680,2560,2012
15565,3785,2016
7067,554,2011
20079,2686,2017
19125,6745,2017
9408,4953,2008
8216,1657,2013
6103,2494,2005
7808,6850,2019
6645,5234,2004
10749,985,2010
5963,567,2007
20707,6259,2018
13115,9207,2016
20403,3785,2018
2595,1012,1997
22890,15242,2019
19266,10347,2017
6300,5620,2020
9067,3408,2016
6914,2764,2018
7912,3079,2015
3088,69,2017
5513,3124,2008
7303,2776,2016
7013,634,1991
9014,1996,2005
9664,8315,2019
6048,787,2010
5031,2785,2016
4543,2328,2008
19780,2813,2017
9640,451,2010
6521,5473,2011
16988,2605,2017
13325,11092,2019
18782,7856,2020
12603,4549,2015
10909,4769,2006
7572,6539,2016
14991,204,2006
16435,7508,2017
1496,936,2018
5094,2767,2004
14315,5979,2016
24896,512,2010
10587,7480,2016
13199,856,2000
19457,1002,2013
7292,391,2009
19591,850,2016
20507,3750,2019
19018,1146,2017
23123,7626,2019
13580,12473,2012
5295,3219,2008
11988,7503,2016
6213,2981,2011
8693,760,2010
3184,2302,2001
11181,3493,2018
13845,763,2007
10487,766,2013
9894,4170,2016
5070,1359,2003
7522,3615,2006
8780,3112,2017
6176,6103,2012
16984,8541,2016
11033,1496,2008
4422,2970,2020
8506,38,2005
20890,231,2019
4892,3158,2011
14822,12639,2020
24067,11146,2020
7097,3536,2004
15565,2080,2014
11657,5390,2010
16824,8783,2005
18424,1889,2016
9520,2005,2018
10141,8751,2006
23495,16479,2020
4051,924,2005
8173,1206,2005
15910,2430,2015
12890,1181,2012
18356,12871,2018
19763,8997,2019
9364,4650,2014
7828,1122,2013
9370,2914,2016
18511,7740,2018
17141,3775,2016
5706,2123,2006
7059,2806,2004
19610,937,2020
7004,279,2005
15539,9389,2016
9200,154,1986
12088,1689,2014
14224,3107,2018
9230,1608,2007
10655,3859,2013
9150,504,2003
10539,1448,2012
3678,3220,2013
2581,2296,2020
18514,2421,2004
9271,1323,2006
18392,3020,2020
13060,8761,2011
7597,5902,2015
17217,379,2019
13856,7189,2014
7272,271,2018
4886,1707,2009
20507,531,2019
12271,1113,2010
15791,498,2014
6651,5137,2011
14389,11880,2019
6269,2490,2012
10981,9620,2013
9499,3794,2012
19956,1016,2018
5847,1072,2005
16497,301,2013
4848,4024,2014
14811,35,2019
14978,2192,2017
16220,7788,2015
16709,11744,2020
22950,21620,2019
2203,595,1999
11966,7070,2015
10917,7053,2018
10269,3036,2017
9838,6660,2017
11006,7652,2015
2776,1856,1999
2565,2328,2015
17054,7461,2018
6042,1864,2014
688,514,2005
15725,1975,2008
7037,1637,2018
9329,2961,2014
8271,2296,2009
23657,12630,2019
3582,2094,2008
4346,1827,2016
10948,2363,2017
23749,3065,2020
16688,2795,2018
21311,1670,2018
23026,1335,2019
1562,417,2004
21011,52,2018
19567,2315,2017
5831,1944,2017
4589,509,2000
23479,3500,2020
10166,5739,2004
4924,1040,2004
16071,2432,2018
17075,2041,2015
1011,712,1988
12862,11742,2016
6445,5833,2009
8706,1610,2008
24386,270,2020
11404,2104,2019
12877,1775,2009
17415,5226,2016
18612,6618,2017
20438,7012,2019
15663,1275,2011
20929,1937,2017
12441,5200,2012
11289,3614,2019
17438,2164,2013
3386,1567,2002
11321,1578,2016
6971,2119,2007
19375,689,2017
8088,2546,2008
5769,687,2007
12445,833,2015
15784,4264,2012
12614,5233,2017
15801,2645,2011
6639,5180,2018
10382,518,2009
13008,7561,1999
6714,2583,2009
19033,10108,2018
16211,56,2016
20762,4116,2018
21281,8362,2012
24236,7502,2020
3690,3191,2004
17555,1274,2015
4799,2673,2019
17229,664,2015
3157,2977,2009
21170,17197,2019
8028,6475,2021
12628,7851,2005
5201,3786,2004
13392,1204,2013
21916,3374,2019
5594,4551,2020
20978,2565,2020
6595,1946,2013
9352,3920,2007
8216,604,2002
6777,1482,2002
17525,1442,2017
9804,3394,2008
11344,3212,2015
23761,229,2019
8930,4985,2019
6048,1498,2010
13913,779,2015
14207,14177,2017
12745,4747,2019
8090,5591,2015
12060,6408,2011
7829,625,2009
18253,13762,2000
10779,3605,2009
19807,12843,2018
9736,4095,2012
14826,8703,2016
10941,4417,2016
12277,2085,2009
9226,4113,2017
10349,8013,2017
5637,5021,2011
9046,3483,2020
12627,9585,2012
7669,1059,2011
5090,3782,2003
12317,1975,2010
13907,6755,2019
14822,10827,2020
14547,3913,2013
11736,8957,2011
13824,2615,2017
5711,2095,2013
9510,6600,2014
21197,8233,2018
4811,2521,2002
22667,835,2020
10002,4,2020
4851,2471,2006
3468,3042,2017
16629,8090,2018
16158,93,2020
11743,2113,2015
7464,13,2006
3485,2549,2020
16956,12166,2016
12853,580,2017
9279,5978,2019
8058,7776,2016
23470,4599,2020
22592,21389,2020
3996,3366,2005
8589,5881,2014
16282,2012,2014
6735,2935,2016
10897,4288,2015
22832,19667,2020
1926,1893,2010
10558,9882,2018
5792,1756,2007
15371,5139,2017
12638,5010,2019
2062,426,1994
1951,471,1992
5497,4013,2011
12320,5971,2009
23174,1777,2019
8365,7056,2017
3322,1427,2009
4205,3770,2011
4307,3048,2011
21331,7316,2018
21418,314,2018
15504,3475,2010
4828,634,2012
21501,2141,2020
7940,5763,2013
12461,1659,2015
6997,355,2019
19933,6410,2019
4769,15,2003
14312,4575,2015
6203,3764,2011
16012,13839,2020
14400,2406,2014
18324,946,2016
23939,720,2020
20805,1062,2019
6650,3563,2008
1750,191,2003
23963,3665,2020
7328,3344,2014
20222,283,2019
16534,153,2009
13621,680,2014
17089,13335,2019
2073,62,2012
8196,1057,2013
12788,6479,2012
11257,2289,2015
19458,7232,2016
5633,4724,2003
14295,226,2015
6749,1040,2004
6686,589,2009
13369,4548,2017
6539,2242,2003
13745,12223,2015
12876,422,2014
17337,1090,2015
24207,3581,2020
13092,2959,2013
6257,243,2008
4415,2276,2003
5346,3636,2008
9531,77,2017
14015,2921,2017
4849,243,2004
20446,696,2017
10406,6300,2012
20370,2412,2020
15784,4198,2018
10983,1717,2005
10692,2405,2019
7158,2927,2002
7722,3805,2015
8017,34,2012
23559,5850,2020
4023,1500,2006
15478,1115,2012
17080,4043,2016
15640,14473,2018
11629,6117,2020
7198,5986,2008
15917,7357,2012
9319,243,2013
6034,1926,2020
16586,987,2014
19209,1840,2017
8332,1119,2012
7453,3418,2000
8187,4751,2009
19750,805,2016
11209,1172,2005
22062,12902,2019
3186,1590,2008
8870,3145,2020
5648,2724,2005
14835,1304,2013
16010,785,2019
9626,4983,2011
652,208,2008
21162,20979,2019
3286,2275,2005
9470,1875,2006
6149,2065,2006
21507,1557,2017
9246,4468,2000
17215,1859,2018
4450,527,2016
16561,1223,2014
7463,4885,2017
21750,20109,2020
8979,1130,2006
14009,4150,2017
19006,508,2015
10816,529,2008
20779,4716,2018
23944,2144,2020
11259,7810,2017
2552,1681,2004
13641,3844,2012
10139,7788,2017
21072,2798,2020
3003,2194,2006
10873,5731,2004
11186,3786,2008
6192,996,2005
19065,15611,2017
14247,7555,2010
756,165,2006
13507,334,2009
7697,7314,2011
11941,26,2005
11608,1807,2014
3816,1739,2005
19993,5228,2017
5935,23,2005
13220,4234,2008
6503,1678,2007
19574,2368,2017
22329,6135,2018
12034,8678,2017
17959,1816,2012
3923,111,2011
2118,116,2010
14025,998,2007
6365,1282,2006
20630,1807,2018
2195,1292,1999
10784,1340,2004
22252,2475,2017
10071,3932,2014
19888,425,2016
8106,1755,2017
22455,966,2019
3438,3015,2011
9428,2383,2008
18691,55,2018
19683,2233,2017
8232,4678,2020
22574,3630,2018
23287,3008,2020
24838,14673,2019
17505,3382,2019
4411,1811,2008
19959,1684,2017
23352,3787,2020
981,637,2000
5177,1333,2012
22724,20083,2020
15188,12046,2018
7320,4755,2007
19171,1082,2017
5489,801,2011
16096,794,2017
9111,1143,2008
21737,1166,2018
4522,2804,2015
3476,3170,2010
1945,1388,2004
4464,31,2011
6515,183,2011
14657,2831,2012
24223,7207,2020
4706,112,2002
6922,3232,2014
17377,2140,2015
15784,7010,2016
22436,5427,2019
6186,4120,2018
15071,1926,2011
20118,43,2017
9860,4431,2020
5205,4837,2009
7688,6182,2007
15017,6925,2016
3181,2642,2004
15514,11726,2017
7060,1132,2001
17585,564,2017
8853,6369,2010
18100,1289,2006
9037,8266,2016
8201,658,2017
22203,1650,2018
6865,1123,2006
5981,2014,2007
11720,10194,2019
22791,1353,2019
14094,10023,2012
20577,16254,2017
3630,2436,2004
17470,13426,2020
5786,1492,2011
8230,493,2012
5228,3706,2008
2697,2471,2006
12561,5203,2009
12830,8493,2013
5183,3741,2017
20256,11210,2019
21548,14515,2020
17088,6182,2016
21688,19667,2019
12071,1679,2008
21375,856,2018
10836,1264,2012
16823,10343,2020
11164,892,2008
14225,524,2012
17487,2407,2013
18897,75,2020
3935,2426,2019
9430,3905,2019
9064,3991,1997
7132,705,2017
9850,699,2019
5875,1413,2007
22461,105,2019
20479,15055,2017
22380,16005,2018
7722,2895,2011
10149,7932,2017
18118,4301,2015
22353,11347,2019
12924,3910,2011
7961,5096,2016
11334,4942,2006
13325,7430,2019
6616,194,2012
14957,13700,2017
16671,490,2014
4362,1194,2008
3590,2944,2008
18864,9207,2018
13911,539,2003
15025,6955,2017
8941,2895,2018
8518,6729,2017
22135,480,2017
6407,6018,2016
3017,1360,2007
10744,4839,2014
22488,5344,2020
11932,4972,2017
10694,460,2009
9017,5600,2018
14101,7216,2009
15905,3661,2020
19877,4628,2017
12907,1561,2010
15749,5749,2014
16414,13325,2018
8942,1115,2014
3513,1913,2017
8162,6312,2008
23260,9622,2019
15915,2620,2019
14910,5986,2020
17459,1566,2017
11050,2352,2011
11323,4158,2004
4367,766,2002
20370,3872,2018
5661,991,2017
20890,9,2018
16510,3752,2015
11436,4566,2018
14475,4584,2018
20649,946,2018
19753,6957,2020
20859,3775,2018
16124,3767,2016
1069,105,2007
10762,1899,2007
8817,2519,2014
8507,5014,2007
6357,4481,2004
17880,847,2018
7678,4819,2010
12242,5503,2014
5507,4079,2013
9258,3196,2007
15442,3151,2016
1242,976,2016
6909,3160,2014
24495,8624,2020
4559,1323,2001
15399,3387,2014
10752,8967,2015
18383,3229,2000
10460,8489,2014
20873,12497,2018
7930,4917,2006
10217,1684,2011
6464,6336,2018
8847,1191,2008
22167,1901,2018
14900,1195,2006
5678,4412,2012
14271,8480,2017
568,315,1999
3824,1066,2004
12056,2722,2007
23924,6409,2020
10154,3978,2020
2695,1115,2004
8300,1588,2009
7105,1750,2008
9171,3442,2010
20214,11146,2019
16501,1483,2012
18645,9300,2017
18174,2409,2004
21504,2030,2018
18656,6806,2018
7415,1361,2015
15658,2345,2019
17668,11931,2016
1221,94,2003
1647,865,2004
4013,3060,2010
6633,4730,1999
7602,7128,2014
11014,9377,2009
20082,127,2017
12739,466,2015
6067,1534,2006
6723,2113,2015
5075,4935,2004
13222,2362,2017
12482,6239,2005
8350,5221,2012
2835,1715,2011
18265,1090,2013
20478,744,2017
1870,387,2014
19129,3244,2020
12527,2173,2005
19079,4496,2018
16999,14190,2016
2738,1547,2011
2309,2047,2003
22627,4678,2019
8118,2139,2009
16039,9044,2020
7816,1421,1997
8051,4825,2017
4082,2687,2016
10033,6765,2011
8212,2181,2009
8216,2577,2003
22150,14478,2020
11825,4492,2016
